BATCH_SEQ_NUMBER,BATCH_ITERATION_SEQ,EMPL_ID,START_DATE,EXPIRE_DATE,SCHED_TYPE,INTERVAL_TYPE,SCHED_DAY,START_TIME,END_TIME,CYCLE_START_DATE,SHIFT_IND,ROW_INDEX,PROCESS_FLAG,INVALID_DATA,COMMENTS,CREATED_DATETIME,UPDATED_DATETIME
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,1,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,1,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,1,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,2,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,1,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,3,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,2,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,4,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,2,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,5,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,2,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,6,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,3,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,7,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,3,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,8,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,3,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,9,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,4,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,10,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,4,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,11,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,4,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,12,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,5,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,13,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,5,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,14,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,5,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,15,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,6,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,16,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,6,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,17,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,6,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,18,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,7,1/1/1990 7:30,1/1/1990 11:30,29-Jun-25,D,19,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,7,1/1/1990 11:30,1/1/1990 12:00,29-Jun-25,D,20,0,1,Migration date greater than start date.,11/7/2025 10:17,
9,1,8574,29-Jun-25,29-Jun-26,WEEK,SW,7,1/1/1990 12:00,1/1/1990 16:00,29-Jun-25,D,21,0,1,Migration date greater than start date.,11/7/2025 10:17,
